ID,Topic,Source,Year,Source Type,Tier,What It Establishes,What It Does Not Establish,2099 Canon Use,Faction,URL
MYT-01,Serpent infiltrator fiction,"Robert E. Howard, The Shadow Kingdom",1929,Primary fiction,C,"The literary serpent-men pattern of hidden rulers, disguises, underground survival, and political infiltration was published in Weird Tales in 1929.",Living political leaders or real populations are reptilian nonhumans.,Literary ancestor of the Serpent Court; morphology remains politically neutral.,Xenos / All,https://www.gutenberg.org/ebooks/70830
MYT-02,New World Order and UFO-conspiracy merger,"Michael Barkun, A Culture of Conspiracy",2003/2013,Academic history,C,"Modern mega-conspiracies merge religious apocalyptic, secular secret-society, UFO, underground-base, and scapegoating traditions.",A single cabal actually coordinates all world events.,Six Hidden Tables and the Cabal Compression Error.,All,https://academic.oup.com/california-scholarship-online/book/23108
MYT-03,Inside Job design corpus,Los Angeles Times interview with Shion Takeuchi,2021,Creator interview,C,The creator explicitly framed the series as satire and said she did not believe a real shadow government exists; bureaucracy and loss of agency were central concerns.,The show documents actual secret institutions.,"Secret systems have payroll, rivalry, maintenance, and human motives.",All,https://www.latimes.com/entertainment-arts/tv/story/2021-10-23/inside-job-netflix-shion-takeuchi-conspiracy-theories
MYT-04,Inside Job fictional conspiracy bundle,"Netflix, Inside Job",2021-2022,Fictional media corpus,C,"The series intentionally combines reptoids, fake Moon-landing infrastructure, secret societies, robot leaders, memory alteration, and reality editing in a workplace satire.",Any depicted conspiracy is factual.,"Structural reference for competing conspiracies, Project Reboot analogues, and institutional comedy.",All,https://www.netflix.com/title/80995819
MYT-05,Agenda 21,"United Nations, Agenda 21",1992,Official policy text,A,Agenda 21 is a publicly available nonbinding sustainable-development action plan adopted at the 1992 Earth Summit.,A covert extermination order or proof of one unified depopulation program.,"Public policy can be altered, selectively quoted, or fused into counterfeit Population Ledger orders.",Humans / Xenos,https://sdgs.un.org/publications/agenda21
MYT-06,Great Reset,"World Economic Forum, Great Reset announcement",2020,Public institutional initiative,A,The Great Reset was publicly promoted as a post-pandemic economic and social reform initiative.,A secret command to depopulate Earth or surrender government to aliens.,Elite-policy rhetoric becomes one input into the Cabal Compression Error.,Humans / Xenos,https://www.weforum.org/press/2020/06/the-great-reset-a-unique-twin-summit-to-begin-2021/
MYT-07,Documented coercive eugenics,"Encyclopedia Virginia, Carrie Buck",1924-1983,Historical reference,A,Virginia forcibly sterilized thousands under eugenic law; Carrie Buck was central to Buck v. Bell.,"That later sustainability, public-health, or demographic programs are one continuation of the same secret plan.",Carrie Protocol and the documented-abuse versus mythic-overextension rule.,Humans / Xenos,https://encyclopediavirginia.org/entries/buck-carrie-1906-1983/
MYT-08,Georgia Guidestones,"New Georgia Encyclopedia, Georgia Guidestones",1980-2022,Historical monument record,C,An anonymously commissioned monument included a population-under-500-million inscription and became a major conspiracy symbol.,An operational global depopulation organization.,A damaged colony mistakes an emergency ceiling for a permanent mandate.,All,https://www.georgiaencyclopedia.org/articles/history-archaeology/georgia-guidestones/
MYT-09,Covert weather modification,"FRUS, Operation Popeye memorandum",1967,Official diplomatic record,A,U.S. officials considered and conducted weather-modification operations to disrupt logistics in Southeast Asia.,"Global weather control, chemtrail population programs, or alien technology.",Credibility kernel for local atmospheric warfare and Contrail Ledger missions.,Humans / Machines,https://history.state.gov/historicaldocuments/frus1964-68v28/d274
MYT-10,Hurricane modification,"NOAA, Project STORMFURY history",1962-1983,Official scientific history,A,The United States attempted hurricane modification through cloud seeding; apparent successes were later weakened by improved storm science.,Reliable hurricane control or proof of secret ongoing global weather weapons.,Stormfury Ghost: natural variability mistaken for successful control.,Humans / Machines,https://www.aoml.noaa.gov/hrd/hrd_sub/sfury.html
MYT-11,HAARP,High-frequency Active Auroral Research Program,1990s-present,Official research facility,A,HAARP is an ionospheric research facility transferred to the University of Alaska Fairbanks in 2015.,"Mind control, earthquake generation, portals, or global weather control.",Ionospheric research can coexist with false narratives and later Lattice-handshake science.,Humans / Machines,https://haarp.gi.alaska.edu/
MYT-12,Contrails and chemtrail claims,"U.S. EPA, Contrails",Current,Official science guidance,A,Persistent contrails are ice-cloud phenomena formed from aircraft exhaust under suitable atmospheric conditions.,A covert population-control spraying program.,"Contrail Ledger separates normal aviation, declared geoengineering, covert release, and misinformation.",Humans / Machines,https://www.epa.gov/regulations-emissions-vehicles-and-engines/contrails
MYT-13,Behavioral modification programs,U.S. Senate MKULTRA hearing,1977,Official congressional record,A,The CIA conducted and funded unethical behavioral-modification research; the Senate held a joint hearing on the program.,"Every mind-control allegation, Project Monarch as one proven master program, or alien involvement.","Monarch Index: real abuse, reused codenames, therapy fraud, and Xeno conditioning remain separate chains.",Humans / Xenos,https://www.intelligence.senate.gov/1977/08/03/hearings-joint-hearing-subcommittee-health-and-scientific-research-committee-human-resources-project/
MYT-14,Gateway Process,"U.S. Army, Analysis and Assessment of Gateway Process",1983,Authentic government publication,B,A military-authored report analyzed an altered-state training system and related claims.,"That out-of-body travel, time travel, or manifestation was operationally validated.",Gateway Custody and noetic-training provenance.,Humans / Federation,https://www.govinfo.gov/app/details/GOVPUB-D101-PURL-gpo152943
MYT-15,Remote viewing and STARGATE,"CIA, Ask Molly: Did CIA Really Study Psychic Powers?",1972-1995,Official retrospective,A/B,U.S. intelligence organizations funded remote-viewing research; later evaluation found it too unreliable and inconsistent for intelligence use.,Reliable psychic surveillance or extraterrestrial communication.,"Noetic Reconnaissance yields impressions and probabilities, never omniscient targeting.",Humans / Federation,https://www.cia.gov/stories/story/ask-molly-did-cia-really-study-psychic-powers/
MYT-16,Philadelphia Experiment,Naval History and Heritage Command,1955 myth / 1943 allegation,Official historical review,A/E,The Navy traces the myth to Carlos Allende correspondence after Morris Jessup and reports no records supporting invisibility or teleportation; USS Eldridge movements contradict the legend.,A real 1943 teleportation experiment.,Degaussing Error: false teleportation story preserves an unrelated backflow datum.,Humans / Machines,https://www.history.navy.mil/research/library/online-reading-room/title-list-alphabetically/p/philadelphia-experiment.html
