id,source_type,title,publisher,date_or_status,evidence,establishes,does_not_establish,lore_use,url
AD-01,primary archive,NARA Record Group 615 live collection,National Archives,2026-05-22,A,"Lists rolling UAP transfers from FAA, NRC, ODNI, OSD, NSA, State, and FBI.",Does not validate every allegation inside transferred records.,Archive Version Skew and cross-agency provenance.,https://www.archives.gov/research/topics/uaps/rg-615
AD-02,primary archive snapshot,NARA UAP bulk downloads,National Archives,2025-04-24 snapshot,A,"Packages digitized records and JSON metadata; current electronic rows show NRC, FAA, ODNI, and OSD.",Does not represent every later catalog transfer at the same moment.,Bulk-snapshot date becomes required metadata.,https://www.archives.gov/research/catalog/catalog-bulk-downloads/uap-bulk-download
AD-03,secondary discovery index,Black Vault UFO Files Releases 1-5,The Black Vault,2026-08 review,A/B,"Searchable derivative includes 375 records: 212 documents, 133 videos, and 30 images across five release batches.",Does not include the entire older Black Vault UAP archive and does not make OCR infallible.,Open Archive ingestion and derivative-parent linking.,https://www.theblackvault.com/documentarchive/ufo-files-search-engine/
AD-04,primary official media index,AARO UAP report documents and imagery,AARO,2026 releases,A/B,"Publishes report records and media with descriptions of source, custody, transformations, and limitations.",Descriptions are not automatically analytical conclusions or object identifications.,Media Integrity Ladder and mission-report/conclusion split.,https://www.aaro.mil/Next-AARO-Home-redesign/Next-Parent/Next-UAP-Report-Documents/
AD-05,FOIA-released aviation case,PWA192 northern Nevada encounter,FAA via The Black Vault,2025-05-20 incident; 2026 release,B,ATC audio and logs document a pacing-object report; twelve ERAM files were withheld as SSI.,"Does not identify the object or prove military, foreign, or extraterrestrial origin.",Description-drift and unavailable-sensor mission.,https://www.theblackvault.com/documentarchive/faa-records-detail-pilot-encounter-with-unidentified-object-pacing-aircraft-over-nevada/
AD-06,FOIA process record,Evaluation Proposal 585,DoW OIG via The Black Vault,2026-06-16 release,A/B,States the evaluation objective for DoD intelligence and counterintelligence handling of UAP.,Redactions do not establish extraordinary findings.,Blind Metrics mission and classified-method distinction.,https://www.theblackvault.com/documentarchive/department-of-war-cites-national-security-to-hide-core-uap-evaluation-details/
AD-07,FOIA process record,Immaculate Constellation email-search appeal,DoW via The Black Vault,2026-05-26 appeal result,A/E,Appeal required an email search after an initial refusal based on alleged subject nonexistence.,Does not authenticate the alleged program.,Null Search Paradox and phrase/program distinction.,https://www.theblackvault.com/documentarchive/pentagon-refuses-to-search-for-immaculate-constellation-emails/
AD-08,primary official program history,KONA BLUE information release,AARO,current official page,A/E,"AARO says the PSAP was proposed but never approved, established, funded, or supplied with material.",Does not support an operational recovery program.,Proposal-Program-Operation Ladder.,https://www.aaro.mil/UAP-Records/
AD-09,primary official material analysis,ORNL aluminum specimen analysis,AARO / ORNL,"2024 analysis, current official index",A/B,The tested Ohio specimen was assessed as ordinary aluminum alloy for common applications.,Does not settle every unrelated material claim or the social origin of the recovery story.,Chain-of-custody and negative-result mission.,https://www.aaro.mil/UAP-Records/
AD-10,primary official research infrastructure,2025 UAP Narrative Data workshop,AARO / AUI,2026 white paper index,A,Forty participants considered challenges and opportunities in narrative reports and related data infrastructure.,Does not validate all testimony or eliminate the need for sensor analysis.,Narrative Infrastructure Office.,https://www.aaro.mil/UAP-Records/
AD-11,secondary discovery index,FBI Files: The Paranormal Collection,The Black Vault / underlying FBI files,2025-07-31 index,B-D,"Preserves released files involving contactees, UFO groups, investigators, skeptics, broadcasters, and disputed documents.",An FBI file is not FBI endorsement of the subject claim.,Contactee-network genealogy and religion-control research.,https://www.theblackvault.com/documentarchive/fbi-files-the-paranormal-collection/
AD-12,primary technical guidance,Data Vetting and Accessibility for the Study of UAP,Naval Postgraduate School,Spring 2026 issue,A,"Separates direct measurement from derived interpretation and emphasizes metadata, geometry, known quality, and multi-sensor triangulation.",Does not make a multi-sensor report extraordinary or processed imagery photometrically native.,Measurement Lineage and sensor-custody gameplay.,https://nps.edu/documents/110773463/165192597/Data%2BVetting%2Band%2Baccessibility%2Bfor%2Bthe%2BStudy%2Bof%2BUAP.pdf
AD-13,primary technical research,Event-Based Sensing and WATCHER pipeline,Naval Postgraduate School / Sandia National Laboratories,Spring 2026 issue,A/speculative application,"Demonstrates event-based detection, tracking, velocity estimation, and rotor characterization on known drone data.",Does not demonstrate alien craft or a completed universal classifier.,Watcher Mesh and Provisional Unknown track states.,https://nps.edu/documents/110773463/165192597/Event-Based%2BSensing%2Bfor%2BUnidentified%2BAnomalous%2BPhenomena%2BDetection%2BTracking%2Band%2BCharacterization.pdf
AD-14,primary technical guidance,Practical Photography Guide for UAP Events,Naval Postgraduate School,Spring 2026 issue,A,"Recommends native masters, immediate hashes, UTC and equipment metadata, calibration, and separately labeled derivatives.",File integrity does not prove extraordinary interpretation.,Native Master and Fork Law.,https://nps.edu/documents/110773463/165192597/Capturing%2BUnidentified%2BAnomalous%2BPhenomena%2BEvents-%2BA%2BPractical%2BPhotography%2BGuide%2Bfor%2BEveryday%2BObservers.pdf
AD-15,primary official information paper,AARO and the Declassification Process,AARO,"2025 paper, reviewed 2026",A,"Explains that classification can protect platform, sensor, location, metadata, source, or method even when the subject is ordinary.",Classification does not imply extraordinary subject matter.,Source-Subject Split mission logic.,https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/AARO_Declassification_Info_Paper_2025.pdf
AD-16,primary official workshop paper,"2025 UAP Workshop: Narrative Data, Infrastructures, and Analysis","AARO / Associated Universities, Inc.",2026 publication,A,"Recommends provenance, narrative plus structured fields, optional metadata, human review, and refuse-to-answer states.",Does not remove witness error or make narratives objective.,Refusal Is Data and Human narrative infrastructure.,https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/2025_UAP_Workshop_Paper.pdf
