id,archetype,ontology,source_lineage,key_sources,era,traits,typical_role,status,game_hook,design_language,affiliation,cautions
X01,Historical Anunna / Anunnaki,Ancient divine assembly,Mesopotamian religion,Sumerian and Akkadian texts; Atrahasis; Enuma Elish; ORACC deity corpus,Ancient Mesopotamia,"A changing group of major gods, fate judges, or underworld deities; not a fixed alien species.",Divine authority; labor hierarchy; mythic precursor to later ancient-astronaut reinterpretation.,"Historical myth/religion, not evidence of extraterrestrials",Use as the corrupted human memory of several rival off-world houses rather than one species.,"Royal seals, star maps, lapis, gold, monumental geometry.",Precursor to Anunnaki Houses,"Do not claim cuneiform texts say aliens mined gold or came from a 3,600-year planet."
X02,Nibiran Anunnaki,Biological extraterrestrial / dynastic empire,Zecharia Sitchin ancient-astronaut canon,The 12th Planet; Earth Chronicles; The Lost Book of Enki,1976 onward,Long-lived technological beings from Nibiru; gold-dependent infrastructure; genetic intervention in early humans.,"Ancient colonizers, resource empire, rival dynasties, creators or modifiers of humanity.","Modern fringe interpretation, unsupported by mainstream Assyriology or astronomy","A declining resource empire whose noble houses disagree over whether humanity is property, heir, or threat.","Gold field lattices, mobile planetary citadels, bio-royal insignia.",Anunnaki Houses,Separate Sitchin lore from actual Mesopotamian translations.
X03,Igigi,Divine labor caste / possible client species,Atrahasis labor revolt; later ancient-astronaut expansion,Atrahasis; modern Sitchin-derived lore,Ancient myth; modern reinterpretation,Lower-ranking gods assigned exhausting labor who rebel before humans assume the burden.,"Mutinous workers, colonial soldiers, abandoned client species.",Historical myth with modern alien reinterpretation,"A former Anunnaki labor caste that became nomadic, pirate, or revolutionary.","Industrial exoskeletons, scarred utility craft, repurposed divine technology.",Former Anunnaki subjects,The ancient text does not identify them as extraterrestrial miners.
X04,Short Greys,"Biological, synthetic, or remote avatar",Abduction literature and popular culture,Betty and Barney Hill case; Missing Time; Communion; later experiencer literature,1960s onward,"Small bodies, large heads and black eyes; emotionally opaque; often operate in groups.","Technicians, abductors, drones, scouts, medical operators.",Experiencer testimony and folklore; no verified species,Make the Grey form a standardized interface body leased or manufactured by multiple factions.,"Featureless surfaces, surgical light, seamless egg-shaped interiors.","Variable; Orion, neutral syndicates, or independent machine ecology",Avoid presenting one visual stereotype as an established extraterrestrial species.
X05,Tall Greys,Biological or command-caste avatar,Later abduction narratives,"Budd Hopkins, David Jacobs, John Mack and experiencer accounts",1980s-1990s onward,Taller and more expressive than short Greys; frequently described as supervisors.,"Command caste, telepathic interrogator, program administrator.","Experiencer lore, unverified",A diplomatic or command shell whose apparent authority may be software permissions rather than rank.,"Elongated proportions, reflective black eyes, sparse regalia.",Hybridization programs or machine polities,Treat testimony as testimony rather than biological taxonomy.
X06,Zeta Reticulans,Attributed star-origin population,Hill star-map interpretation and later Grey lore,Marjorie Fish star-map reconstruction; abduction literature,1960s-1970s onward,Greys attributed to the Zeta Reticuli system.,Origin label for Grey visitors.,Speculative attribution; star-map interpretation is disputed,Use Zeta as an old human navigation error that became a political name adopted by the beings themselves.,"Binary star heraldry, twin-route navigation motifs.",Variable,Do not treat a contested star-map match as confirmed provenance.
X07,Nordics / Space Brothers,Humanoid extraterrestrial or projected persona,1950s contactee movement,"George Adamski, Flying Saucers Have Landed; early Space Brother contactees",1952 onward,"Humanlike, often tall and idealized; preach peace, nuclear restraint, and spiritual maturity.","Benevolent emissary, moral teacher, Federation diplomat.",Contactee claim / UFO religion,"Their human appearance is a negotiated diplomatic interface, not proof of shared ancestry.","Retro-futurist silver craft, solar motifs, austere uniforms.",Federation-aligned in many traditions,The early contactee corpus often reflects Cold War-era racial and cultural assumptions.
X08,Pleiadians / Plejaren,Humanoid extraterrestrial / spiritual teacher,Billy Meier and New Age channeling,Meier contact claims; Bringers of the Dawn by Barbara Marciniak,1970s-1990s onward,"Humanlike star people linked to ecological warning, consciousness growth, and genetic ancestry.","Teacher, ancestral cousin, ascension guide.","Contactee/channeling lore, unverified",A diaspora of post-war humanlike cultures with internal disagreement over intervention.,"Crystalline navigation, harmonic interfaces, pastoral high technology.",Often Federation-adjacent,Different Pleiadian canons contradict one another.
X09,Tall Whites,Humanoid extraterrestrial,Charles Hall contact memoirs,Millennial Hospitality series,2002 onward,"Very tall pale humanoids, long-lived, pragmatic, technologically advanced, allegedly near military facilities.","Secret treaty partner, aloof neighbor, technology broker.","Personal claim, unverified",A commercially minded neutral polity that treats Earth as a refueling and trade station.,"White reflective clothing, needle craft, desert installations.",Neutral or transactional,The account has not been independently established.
X10,Reptilians,"Biological extraterrestrial, cryptoterrestrial, or symbolic mask","Modern conspiracy, science fiction, and experiencer lore",David Icke; V; assorted contactee and abduction narratives,1980s-1990s onward,"Reptile-like humanoids, sometimes shape-shifting or subterranean.","Hidden ruler, warrior lineage, infiltrator, or ancient Earth survivor.","Modern conspiracy/folklore, unverified","Split reptilian morphology from politics: many species, cultures, defectors, and citizens rather than an innately evil race.","Thermal armor, scale-like metamaterials, clan heraldry.","Some Draco-aligned, many independent",Avoid antisemitic and bloodline conspiracy tropes associated with parts of the modern corpus.
