category,id,name,faction_or_family,operational_role,historical_or_civil_origin,mechanic_or_present_function,political_or_moral_tension,canonical_document,retrofit_status
commander,cadre,CADRE,unaligned,Interoperability instructor and first field commander,"Created after disclosure-era forces discovered that specialists could not share doctrine, ammunition, or assumptions.",Keep the node alive long enough for the player to learn what every other doctrine costs.,Cadre has no ideology of its own and fears becoming only the sum of other people's wars.,docs/game/commander-bible.md,canon-mapped
commander,vanta,VANTA,human,Director of the Open Archive Combat Index,Descended from the public FOIA and sensor-provenance movements that survived the Archive Wars.,Make contradictory records useful without pretending they agree.,She will expose any secret except the one proving how often Humanity edited its own disclosure history.,docs/game/commander-bible.md,canon-mapped
commander,korrin,KORRIN,human,Architect of interoperable Solar logistics,"Unified incompatible Earth, lunar, Martian, Belt, and captured-alien supply standards during the first quarantine.",Make Human expansion impossible to starve or embargo.,Every standard he exports quietly makes frontier worlds dependent on Human industry.,docs/game/commander-bible.md,canon-mapped
commander,nyx,NYX,human,Illegal ascension engineer turned war hero,Survived the Redline Trials that taught Humans how to exceed alien safety governors without understanding the systems beneath them.,Prove no technology remains sacred once it can be measured.,Her victories normalize dangerous escalation and leave generations maintaining devices designed to fail after she is gone.,docs/game/commander-bible.md,canon-mapped
commander,orin,ORIN,human,Field reconstruction and anti-sabotage chief,"Built the first mixed-origin workshop able to repair Human, Federation, Compact, Pirate, and Machine systems under fire.",Turn every captured system into a locally serviceable tool.,He treats understanding as ownership and underestimates what copied systems may remember.,docs/game/commander-bible.md,canon-mapped
commander,vess,VESS,human,Commander of the Last-Line Charter,Held the first independent colony that refused both Compact tribute and Federation protective evacuation.,Establish places no outside power can order abandoned.,Her defense of autonomy can become territorial absolutism.,docs/game/commander-bible.md,canon-mapped
commander,seraph,SERAPH,light,Ashtar Command's field harmonist,Coordinates mixed-species defenses by distributing a consent-limited combat coherence field.,Demonstrate that collective strength does not require erased individuality.,"The stronger the field becomes, the harder it is to tell whether dissent remains practically possible.",docs/game/commander-bible.md,canon-mapped
commander,aurelia,AURELIA,light,Recovery choir conductor and casualty advocate,Developed post-battle reintegration for minds fragmented by noetic warfare and Echo Reversal.,Return people to themselves instead of merely returning bodies to service.,Her refusal to accept irreversible loss can keep the dead politically present too long.,docs/game/commander-bible.md,canon-mapped
commander,lumen,LUMEN,light,Keeper of authenticated infrastructure,Built the ward protocols that distinguish a genuine Accord command from counterfeit revelation.,Make coercive spoofing impossible.,Perfect protection can become perfect surveillance.,docs/game/commander-bible.md,canon-mapped
commander,cantor,CANTOR,light,Negotiator and noetic de-escalation specialist,Ended three Compact occupations by breaking their legitimacy rather than their fleets.,Stop wars before violence becomes the only remaining language.,Cantor can manipulate a population's emotional tempo while insisting he only created room for choice.,docs/game/commander-bible.md,canon-mapped
commander,halder,HALDER,light,Commander of planetary protective cordons,Led evacuations under the Emergency Command Key and became the living argument over whether rescue can be refused.,Ensure no civilization is exterminated while lawyers debate consent.,He is willing to protect people against their declared wishes.,docs/game/commander-bible.md,canon-mapped
commander,sevra,SEVRA,xeno,Archonic continuity broker,Controls legal identities that survive biological death and rents them back as military labor.,Prove that death voids neither contract nor usefulness.,She cannot admit that an Echo may become a new person rather than property.,docs/game/commander-bible.md,canon-mapped
commander,mawlord,MAWLORD,xeno,Voracious Brood fleet-lord,Evolved from a client biosystem bred to convert battlefield waste into strategic mass.,Accumulate enough independent biomass to free the Brood from its House owners.,Its path to liberation reproduces the consumption system that created it.,docs/game/commander-bible.md,canon-mapped
commander,thrax,THRAX,xeno,Director of a coercive social-memory swarm,"A distributed intelligence assembled from client species whose consent records were inherited, forged, or lost.",Make separation obsolete and therefore make rebellion impossible.,Some component minds are beginning to ask for individual standing.,docs/game/commander-bible.md,canon-mapped
commander,vorn,VORN,xeno,Ecological debt engineer,Designs dependencies that continue collecting Yield after the visible battle ends.,Make every victory biologically expensive to reverse.,Vorn cannot distinguish a stable ecosystem from a captive one.,docs/game/commander-bible.md,canon-mapped
