tier,collection,years,agency,format,size,zip_url,metadata_url,default_download,lore_value,caveat
starter,NRC UAP records,2015-2023,Nuclear Regulatory Commission,PDF collection,11.74 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/electronic-records/488808322.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-488808322.json,yes,Modern agency transfer; terminology and records handling,Official collection; contents do not imply extraterrestrial origin
starter,FAA UAP records,2007-2024,Federal Aviation Administration,PDF collection,63.10 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/electronic-records/493468575.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-493468575.json,yes,"Pilot/aviation reporting language, encounter framing",Official collection; partly restricted; reports vary in quality
starter,ODNI UAP records,2021-2024,Office of the Director of National Intelligence,PDF collection,1.29 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/electronic-records/493468579.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-493468579.json,yes,Official assessments and institutional chronology,"Official analysis, not alien confirmation"
starter,OSD UAP records,2023-2025,Office of the Secretary of Defense,PDF collection,103.37 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/electronic-records/493468580.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-493468580.json,yes,"AARO/DoD process, cases, policy",Official records; unresolved is not extraterrestrial
starter,Project Blue Book Administrative Files,1947-1969,US Air Force,Catalog objects,2.84 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/595175.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-595175.json,yes,Investigation structure and period bureaucracy,Small export is not the full scanned case corpus
starter,Project Blue Book Case Files series export,1947-1969,US Air Force,Catalog objects,1.48 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/595466.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-595466.json,yes,Case index and catalog navigation,Not the huge sanitized image/PDF archive
starter,UFO Sighting Over Alaska,Undated catalog item,US government archive,Moving image,2.53 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/moving-images/262327376.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-262327376.json,yes,Visual reference and archival media style,Authentic archive item; interpretation requires source context
starter,Maj. Gen. John A. Samford statement on flying saucers,1952,US Air Force/Pentagon,Moving image,12.98 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/moving-images/25738.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-25738.json,yes,Cold War public communication and tone,"Historical briefing, not disclosure of aliens"
starter,Dr. Edward Condon interview,20th century,US archive,Moving image,11.11 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/moving-images/127614.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-127614.json,yes,Scientific controversy and skepticism,Historical source
medium,Project Blue Book motion picture films,1950-1966,US Air Force,Moving images,262.14 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/moving-images/61934.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-61934.json,no,Period footage and craft silhouettes,Historical media; many cases have ordinary explanations
medium,DFD Avrocar I Progress Report,1950s-1960s,US/Canadian development archive,Moving image,302.53 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/moving-images/68170.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-68170.json,no,Real disc-aircraft engineering and control problems,Human aerospace development
medium,"Disc Flight Development, Avrocar I",1950s-1960s,US/Canadian development archive,Moving image,360.36 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/moving-images/68175.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-68175.json,no,Real saucer design reference,Human aerospace development
medium,Avrocar continuation and terrain tests,1950s-1960s,US/Canadian development archive,Moving image,311.14 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/moving-images/68405.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-68405.json,no,"Hovercraft behavior, instability, terrain interaction",Human aerospace development
medium,"USAF UFO sightings, California item",20th century,US Air Force,Moving image,182.68 MB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/moving-images/72035.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-72035.json,no,Historical witness and regional case material,"Officially archived report, not verification"
large,Project Blue Book still photographs,1954-1966,US Air Force,Still pictures,36.48 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/still-pictures/542184.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-542184.json,no,Large image reference corpus,Very large download; mixed evidentiary value
large,Sanitized Blue Book images part 1,1947-1969,US Air Force,Scanned images,79.90 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/597821-images-1.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-597821.json,no,Full case imagery,One of ten huge parts
large,Sanitized Blue Book images part 2,1947-1969,US Air Force,Scanned images,79.84 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/597821-images-2.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-597821.json,no,Full case imagery,One of ten huge parts
large,Sanitized Blue Book images part 3,1947-1969,US Air Force,Scanned images,79.34 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/597821-images-3.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-597821.json,no,Full case imagery,One of ten huge parts
large,Sanitized Blue Book images part 4,1947-1969,US Air Force,Scanned images,79.48 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/597821-images-4.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-597821.json,no,Full case imagery,One of ten huge parts
large,Sanitized Blue Book images part 5,1947-1969,US Air Force,Scanned images,60.75 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/597821-images-5.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-597821.json,no,Full case imagery,One of ten huge parts
large,Sanitized Blue Book PDFs part 1,1947-1969,US Air Force,PDF scans,81.11 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/597821-pdfs-1.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-597821.json,no,Searchable case corpus,One of ten huge parts
large,Sanitized Blue Book PDFs part 2,1947-1969,US Air Force,PDF scans,81.08 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/597821-pdfs-2.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-597821.json,no,Searchable case corpus,One of ten huge parts
large,Sanitized Blue Book PDFs part 3,1947-1969,US Air Force,PDF scans,80.56 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/597821-pdfs-3.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-597821.json,no,Searchable case corpus,One of ten huge parts
large,Sanitized Blue Book PDFs part 4,1947-1969,US Air Force,PDF scans,80.71 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/597821-pdfs-4.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-597821.json,no,Searchable case corpus,One of ten huge parts
large,Sanitized Blue Book PDFs part 5,1947-1969,US Air Force,PDF scans,68.13 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/597821-pdfs-5.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-597821.json,no,Searchable case corpus,One of ten huge parts
large,Roswell Report source files,1987-1996,US Air Force,Textual scans,2.91 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/733667.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-733667.json,no,Roswell research genealogy and documentary props,"Official investigation files, not confirmation of alien crash"
