ID,Topic,Source,Year,Source Type,Tier,What It Establishes,What It Does Not Establish,2099 Canon Use,Faction,URL
LOO-01,Law of One,The Law of One / Ra Material archive,1981-1984,Primary channeled corpus,D,A traceable 106-session corpus and its internal terminology.,Independent proof of Ra or extraterrestrial actors.,"Metaphysics: polarity, densities, catalyst, harvest.",Federation / Xenos,https://www.lawofone.info/
LOO-02,Orion conquest,Law of One Orion category,1981-1984,Primary channeled corpus,D,"The corpus explicitly describes elite recruitment, self-enforced enslavement, control technology, and expansion through others.",Historical proof of an Orion empire.,Blueprint for Xeno institutional conquest.,Xenos,https://www.lawofone.info/c/Orion
LOO-03,Confederation,Law of One Confederation category,1981-1984,Primary channeled corpus,D,"The corpus describes a benevolent alliance, consensus, free-will constraints, quarantine, and defense against Orion.",Proof of a real Galactic Federation.,"Federation law, contact, and noninterference.",Federation,https://www.lawofone.info/c/Confederation%2Bof%2BPlanets
LOO-04,UFO ontology,Law of One UFO category,1981-1984,Primary channeled corpus,D,"The corpus distinguishes physical craft, thought-forms, robots, human secret craft, and symbolic appearances.",Verification of any specific craft or base.,Morphology cannot identify faction or ontology.,All,https://www.lawofone.info/c/UFOs
LOO-05,Religious distortion,Law of One Session 24,1981,Primary channeled corpus,D,The corpus claims benevolent teachings can be captured and hostile forces can appropriate a divine identity.,Historical proof regarding Egyptian or biblical religion.,Noetic identity theft and Revelation Stack.,Federation / Xenos / Humans,https://www.lawofone.info/s/24
LOO-06,Harvest terminology,Law of One Harvest category,1981-1984,Primary channeled corpus,D,Harvest in this corpus means spiritual graduation.,Scientific proof or Loosh-style consumption.,"Separate Ascension, Extraction, Archive, and Pirate harvests.",All,https://www.lawofone.info/c/Harvest
ASH-01,Ashtar origin,CDAMM: Extraterrestrial / UFO religion history,2020s; events from 1952,Academic history of religion,C,George Van Tassel was first to report Ashtar contact; Robert Short formed Ashtar Command; later sources expanded the hierarchy.,Evidence that Ashtar is an alien commander.,"Ashtar as leader, office, and continuity identity.",Federation,https://www.cdamm.org/articles/extraterrestrial
ASH-02,Ashtar scholarship,"Christopher Helland, From Extraterrestrials to Ultraterrestrials",2003,Academic history of religion,C,A scholarly source traces the evolution of the Ashtar concept.,Verification of contact claims.,Explains contradictory Ashtar bodies and roles.,Federation,https://christopherhelland.com/
ASH-03,Evacuation doctrine,"Tuella, Project: World Evacuation",1982,Contactee / channeling literature,D,"A major source tradition describes fleets, warning, evacuation, and spiritual hierarchy.",Evidence that a rescue fleet exists.,Federation emergency doctrine and false-evacuation counterplots.,Federation,https://books.google.com/books/about/Project_World_Evacuation.html?id=-nFizgEACAAJ
ASH-04,Vrillon broadcast,Southern Television broadcast interruption,1977,Documented broadcast intrusion; attribution unknown,B/E,A real signal intrusion carried a message claiming Ashtar affiliation.,Nonhuman origin of the voice.,Human spoof using a valid or obsolete Federation call sign.,Federation / Humans,https://en.wikipedia.org/wiki/Southern_Television_broadcast_interruption
GFL-01,Federation membership lore,Planetary Activation Organization member profiles,1990s onward,Contactee / ascension literature,D,A detailed modern member-world and mission taxonomy exists.,Independent evidence for member species.,"Federation species, diplomatic roles, and internal diversity.",Federation,https://www.paoweb.com/gfmember.htm
GAME-01,Illuminati game,Illuminati game overview,1982 onward,Published game,A,"The game uses asymmetric societies, linked power structures, alignments, negotiation, and distinct goals.",Evidence for the conspiracies it satirizes.,High-level design model for influence-network play.,All,https://en.wikipedia.org/wiki/Illuminati_(game)
GAME-02,Illuminati rules,Steve Jackson Games INWO rules archive,1990s onward,Official game rules,A,"Official rules document attacks, power structures, alignments, deals, and faction goals.",Permission to copy protected cards or exact rules.,"Original dual-map system with claim, convert, liberate, corrupt, salvage, seed.",All,https://www.sjgames.com/sjgames/inwo/rules/
VID-01,Alien-race roster,"Edge of Wonder: Ultimate Guide to Alien Races, Vol. 1",2018,Popular fringe-media episode,D,A popular compilation presents ten alleged alien-race traditions and motives.,Evidence that the species exist.,"Arcturians, Ebens, Trantaloids, Mantids, Alpha Centaurians, Anunnaki, Blue Avians, Greys, Nordics, Tall Whites.",All,https://www.youtube.com/watch?v=KJPmET3pPFc
VID-02,Alien-race roster,"Edge of Wonder: Ultimate Guide to Alien Races, Vol. 2",2018,Popular fringe-media episode,D,A second compilation presents ten more alleged races and motives.,Evidence that the species exist.,"Sirians, Draco, Pleiadians, Ant People, Feline/Lyrans, Venusians, Orange beings, Archquloids, Telosians, Aquaferians.",All,https://www.youtube.com/watch?v=uFgrrjmBqm4
BV-01,Archive scale,The Black Vault Document Archive,Current,FOIA archive,B,A private searchable archive preserves millions of pages of government-released records.,That every claim inside a government record is true.,"The Archive War: genuine records, errors, redactions, and deception coexist.",Humans,https://www.theblackvault.com/documentarchive/
BV-02,UFO media archive,Black Vault UFO Files Search Engine,Current,FOIA and media index,B,"A focused collection of UFO-related documents, images, videos, and release packages.",A complete archive or confirmation of exotic origin.,"Craft morphology, witness language, and case seeds.",Humans / Machines / Xenos,https://www.theblackvault.com/documentarchive/ufo-files-search-engine/
BV-03,CIA UFO files,Black Vault CIA UFO collection,1940s onward,Government records via FOIA,B,"CIA retained and released UFO reports, correspondence, and foreign material.",CIA endorsement of extraterrestrial explanations.,Competing national archives and incomplete provenance.,Humans,https://www.theblackvault.com/documentarchive/ufos-the-central-intelligence-agency-cia-collection/
BV-04,FBI UFO files,Black Vault FBI UFO collection,1940s onward,Government records via FOIA,B,FBI records document correspondence and investigative handling.,FBI proof of alien visitation.,Domestic counterintelligence and rumor containment.,Humans,https://www.theblackvault.com/documentarchive/fbi-files-the-ufo-files/
BV-05,NSA UFO files,Black Vault NSA UFO index and affidavit material,20th century,Government records via FOIA and litigation,B,NSA had responsive records and defended redactions on national-security grounds.,What every redaction contains.,"Encrypted signals, missing originals, and secrecy mechanics.",Humans,https://www.theblackvault.com/documentarchive/national-security-agency-nsa-ufo-documents-index/
